TITLE_ID,TITLE,DISC_ID,DISC_TYPE,FILM_DATE,DISC_DATE,IMDB,WIKI,,"Dates are for US distribution, widest release"
111094,millenium_s2d4,,dvd,9/1/1997,1/4/2005,,http://en.wikipedia.org/wiki/Millennium_(season_2),,(I didn't notice the DISC_ID...
111110,millenium_s2d5,,dvd,9/1/1997,1/4/2005,,http://en.wikipedia.org/wiki/Millennium_(season_2),,"... until season 2, disc 6 )"
111103,millenium_s2d6,01-73577742,dvd,9/1/1997,1/4/2005,,http://en.wikipedia.org/wiki/Millennium_(season_2),,
237328,inside_llewyn_davis,01-631653747,br,12/6/2013,3/11/2014,,http://en.wikipedia.org/wiki/Inside_Llewyn_Davis,,
162261,the_TV_set,01-235428149,dvd,4/6/2007,9/25/2007,,http://en.wikipedia.org/wiki/The_TV_Set,,
129797,millenium_s3d1,01-103236546,dvd,10/2/1998,9/6/2005,,http://en.wikipedia.org/wiki/Millennium_(season_3),,
134799,chumscrubber,01-119182961,dvd,8/26/2005,1/10/2006,,http://en.wikipedia.org/wiki/The_Chumscrubber,,
238720,47_ronin,01-636266749,br,12/25/2013,4/1/2014,,http://en.wikipedia.org/wiki/47_Ronin_(2013_film),,
129801,millenium_s3d2,01-103239291,dvd,10/2/1998,9/6/2005,,http://en.wikipedia.org/wiki/Millennium_(season_3),,
38358,blood_simple,01-34820318,dvd,1/18/1985,9/1/2001,http://www.imdb.com/title/tt0086979,http://en.wikipedia.org/wiki/Blood_Simple,,2008 reprint
191689,doubt,01-641622829,br,12/12/2008,4/7/2009,http://www.imdb.com/title/tt0918927/,http://en.wikipedia.org/wiki/Doubt_(2008_film),,
129795,millenium_s3d3,01-103231541,dvd,10/2/1998,9/6/2005,,http://en.wikipedia.org/wiki/Millennium_(season_3),,
120057,the_woodsman,01-85900859,dvd,12/24/2004,4/12/2005,http://www.imdb.com/title/tt0361127/,http://en.wikipedia.org/wiki/The_Woodsman,,
237206,philomena,01-634820314,br,11/22/2013,4/15/2014,http://www.imdb.com/title/tt2431286/,http://en.wikipedia.org/wiki/Philomena_(film),,
129798,millenium_s3d4,01-103252943,dvd,10/2/1998,9/6/2005,,http://en.wikipedia.org/wiki/Millennium_(season_3),,
237072,Nebraska,01-630193340,br,11/15/2013,2/25/2014,http://www.imdb.com/title/tt1821549/,http://en.wikipedia.org/wiki/Nebraska_(film),,
36514,in_the_heat_of_the_night,01-633659163,dvd,8/2/1967,1/1/2001,http://www.imdb.com/title/tt0061811/,http://en.wikipedia.org/wiki/In_the_Heat_of_the_Night_(film),,
129802,millenium_s3d5,01-103225659,dvd,10/2/1998,9/6/2005,,http://en.wikipedia.org/wiki/Millennium_(season_3),,
239327,Tims_Vermeer,01-639548568,br,1/13/2014,6/9/2014,http://www.imdb.com/title/tt3089388/,http://en.wikipedia.org/wiki/Tim's_Vermeer,,
49658,treasure_madre,01-635572590,dvd,1/6/1948,9/30/2003,http://www.imdb.com/title/tt0040897/,http://en.wikipedia.org/wiki/The_Treasure_of_the_Sierra_Madre_(film),,
129796,millenium_S3d6,01-103238507,dvd,10/2/1998,9/6/2005,,http://en.wikipedia.org/wiki/Millennium_(season_3),,
240899,Noah,01-643670955,br,3/28/2014,7/29/2014,http://www.imdb.com/title/tt1959490/,http://en.wikipedia.org/wiki/Noah_(2014_film),,
35711,straight_story,01-506074184,dvd,5/21/1999,11/7/2000,http://www.imdb.com/title/tt0166896/,http://en.wikipedia.org/wiki/The_Straight_Story,,
17815,impostors,01-111341336,dvd,10/2/1998,9/5/2000,http://www.imdb.com/title/tt0120823/,http://en.wikipedia.org/wiki/The_Impostors,,
118407,lone_gunmen_d1,01-443081611,dvd,3/1/2001,3/29/2005,http://www.imdb.com/title/tt0243069/,http://en.wikipedia.org/wiki/The_Lone_Gunmen_(TV_series),,
157080,breach,01-649918282,dvd,2/16/2007,6/12/2007,http://www.imdb.com/title/tt0401997/,http://en.wikipedia.org/wiki/Breach_(film),,
243342,amazing_spider_man_2 ,01-645816676,br,5/2/2014,8/19/2014,http://www.imdb.com/title/tt1872181/,http://en.wikipedia.org/wiki/The_Amazing_Spider-Man_2,,
118405,lone_gunmen_d2,01-443081512,dvd,3/1/2001,3/29/2005,http://www.imdb.com/title/tt0243069/,http://en.wikipedia.org/wiki/The_Lone_Gunmen_(TV_series),,
165789,la_vie_en_rose,01-284341824,dvd,6/6/2007,11/13/2007,http://www.imdb.com/title/tt0450188/,http://en.wikipedia.org/wiki/La_Vie_en_Rose_(film),,
244189,captain_america_winter_soldier,01-648159355,br,4/4/2014,9/9/2014,http://www.imdb.com/title/tt1843866/,http://en.wikipedia.org/wiki/Captain_America:_The_Winter_Soldier,,